Vincent van Gogh, Van Gogh's Starry Night Notebook|For my part I know nothing with any certainty, but the sight of the stars makes me want to dream.
Ian Somerhalder|The Futures Bright, Wear Your Sunglasses
Jay Danzie|Your smile is your logo, your personality is your business card, how you leave others feeling after having an experience with you becomes your trademark.
Felix Y. Siauw, Beyond The Inspiration|See beyond the eyes can see, believe beyond the inspiration!
Bob Ong, Macarthur|Mga bata pa kayo. Pag pinaniwalaan namin kayong hindi kayo naglaro ng tubig kahit na basang-basa ang mga damit ninyo, kayo ang niloloko namin. Hindi kayo ang nakakapanloko.
Ann Brashares, My Name Is Memory|A loving soul was always more beautiful over the long haul, but actual prettiness was fleeting.
Octavian Paler, Un om norocos|Există o limită a rezistenţei în fiecare. Când e atinsă, nu mai ai poftă să te justifici.
Michael Scott|Some stories wait their turn to be told, others just tap you on the shoulder and insist you tell them.
C. JoyBell C.|I believe in going with the flow. I don't believe in fighting against the flow. You ride on your river and you go with the tides and the flow. But it has to be your river, not someone else's. Everyone has their own river, and you don't need to swim,float,sail on their's, but you need to be in your own river and you need to go with it. And I don't believe in fighting the wind. You go and you fly with your wind. Let everyone else catch their own gusts of wind and let them fly with their own gusts of wind, and you go and you fly with yours.
Jack Layton|My friends, love is better than anger. Hope is better than fear. Optimism is better than despair. So let us be loving, hopeful and optimistic. And we'll change the world.
Roy T. Bennett|The more you believed in yourself, the more you could trust yourself. The more you trust yourself, the less you compare yourself to others.
Roy T. Bennett|It is better to find your courage to make changes when you can choose to rather than being forced to. If you do not make change, change will make you.
C. JoyBell C.|Why do we always begin to think about people when they die? I think we should think about people while they're still alive! That way, they can know that we're thinking about them! I always tell people when I'm thinking about them, or that I thought about them, or that I have been thinking about them and it almost always scares them away, but so what, I am practicing the art of life and if that is frightening to them then maybe they need to start living while they're still alive!
Roy T. Bennett|The value of surrounding yourself with positive people is not what you get from them, but how good a person you have become because of them.
Paulo Coelho, Warrior of the Light|A Warrior of Light values a child's eyes because they are able to look at the world without bitterness. When he wants to find out if the person beside him is worthy of his trust, he tries to see him as a child would
Michelle Geaney|Life will just not wait for us to live it:We are in it, now, and Now is the time to Live
C. JoyBell C.|Life is not compassionate towards victims. The trick is not to see yourself as one. It's never too late! I know I've felt like the victim in various situations in my life, but, it's never too late for me to realize that it's my responsibility to stand on victorious ground and know that whatever it is I'm experiencing or going through, those are just the clouds rolling by while I stand here on the top of this mountain! This mountain called Victory! The clouds will come and the clouds will go, but the truth is that I'm high up here on this mountaintop that reaches into the sky! I am a victor. I didn't climb up the mountain, I was born on top of it!
C. JoyBell C.|When I was in Piazza di Spagna, in Rome, I watched (along with others) how many locals came to drink water from the fountain there. The people beside me said to each other "Oh my goodness, how disgusting, people just drink water from anywhere," while the whole time, I was thinking "Oh my goodness, how wonderful, people can drink water from anywhere." We can be in the exact same place, looking at the exact same thing, but see that thing in a completely different way. You can go around the world, and go to all the beautiful places, but never be happy, because happiness is something that you bring inside of you, it is not where you are or what you are looking at, but it is how you are and how you look at.
Charles L. Whitfield, Boundaries and Relationships, Knowing, Protecting and Enjoying the Self|By choosing recovery and risking to be real, we set the healthy boundaries that say, "I am in charge of my recovery and my life, and no one else on this Earth is.
C. JoyBell C.|What if you could pick one day of your life, and everything would stop changing, every day would be similar and comparable to that one day, you'd always have the same people with you? If you could do that, would you do it? Would you pick that day and make that choice? We crave for things to stop changing, we wish that things would never change. But if we got what we wanted, there are so many things that are better, that we would never, ever know about. Sure, things would stay the same as that one wonderful day, but then there would be nothing else out there, ever. So can you remember the very first day when everything really did begin to change? Is there a thing that can remind you? Mine is a blue rose, and that's when everything began to change because that's the day I began to believe in things I never believed in before; the day I found three blue roses. Think about your first day of change, can you remember all the new heights you've soared since that day? All the new people? All the better things and times? Would you throw all of that time away? I wouldn't. Instead, I want to finally accept all the things that I couldn't change, which led to me being right here, right now. Maybe we all carry around inside us one day we wish we could keep forever, something we wished never did change. It's time to let go of that day, and soar.
Brandon Sanderson, The Way of Kings|In the end, all men die. How you lived will be far more important to the Almighty than what you accomplished.
C. JoyBell C.|Anger is an essential part of being human. People are taught to deny themselves anger, and in this, they are actually opening themselves up to hate. The more you deny yourself the freedom to be angry, the more you will hate. Let yourself be angry, and hate will disintegrate, and when hate disintegrates, forgiveness prevails! The more you deny that you are angry, in attempts to be "holy" the more inhuman you will become, and the more inhuman you will become, the harder it will be to forgive.
Chris Wright|so here i sit. a sum of the parts. about a third way down this wonderful path, so to speak. and i've been thinking lately about a friendship that fell apart with time, with distance, and with the misunderstanding of youth. i'm trying not to confuse sadness with regret. not the easiest thing at times. i dont regret that certain things happened. i understand that perhaps i had a choice in the matter, or perhaps i believe in fate. probably not, but so far actions as small as the quickest glance to events as monumental as death have pushed me slowly along to right here, right now. there was no other way to get here. the meandering and erratic path was actually the straightest of lines. take away a handful of angry words, things once thought of as mistakes or regrets, and i'm suddenly a different person with a different history, a different future. that, i would regret. so here i sit. thinking about a person i once called my best friends. a man who might be full of sadness and regret, who might not give a damn, or who might, just might, remember the future and realize that's where its at.
Andrea Hirata, Padang Bulan|Orang-orang itu telah melupakan bahwa belajar tidaklah melulu untuk mengejar dan membuktikan sesuatu, namun belajar itu sendiri, adalah perayaan dan penghargaan pada diri sendiri. (hlm. 197)
Jonathan Franzen, The Corrections|Fiction is a solution, the best solution, to the problem of existential solitude.
Danielle Steel, Five Days in Paris|Never lose hope, and if you can, find the courage to love again.
