Na'ama Yehuda|When hearts speak, they touch each other and transform the deepest sorrow.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|If you don’t know how to grow old, don’t start learning how to grow old.
Old Breton fisherman s prayer|O God, thy sea is so great and my boat is so small.
Stephanie Lahart|Stand tall and face YOUR truth. Speak boldly and be confident in what you say. Don't just dream, but take the steps to get where you want to be. Stay motivated, determined, and focused because YOU are worth it! Giving up is NOT an option. Keep your eyes on what matters and what's truly important.
Julianna Baggott, Fuse|When I first met you, I thought we were made for each other even though we seemed like opposites in some ways and we fought. But now...""What?""Now I feel like we weren't made for each other. We're making each other—into the people we should become. Do you know what I mean?
Audrey Regan|Brushing my little teeth every morning of my childhood, I stood on my tippy toes, leaned over the sink and said to myself that when I am a big girl I will see from this high.Today I did the same thing, but the view from my toes was the same from flat feet.I'm a big girl now.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|Your dream is a visualized reflection of your potential and only YOU have the ability to bring it to life... you are more than just the dreamer, you are the point of origin for its reality.
Hansrajvir| LIFE IS LIKE A FRESH DAY, DEATH IS THE NIGHT WHEN THE DAY ENDS.
Gaelen Foley, The Duke|Mind you, after your silly debutantes have finished their proper posture and walking lessons, tell them it never killed any young lady to remove the book from off the top of her head and open it for a change. Just like I taught you.
Richmond Akhigbe|When you don't see nothing wrong in anything you do, then you are doing everything wrong.
Gaelen Foley, The Duke|Our souls need music, Robert, as our bodies need touch.
Roopleen|Running through the maze of life, you come across profound ambiguities and complexities. Yet the essence of living a meaningful life remains simple- following your heart and pursuing your life purpose.
Agostino Scafidi, The Invisible Papers|If you look deep enough into anything, sense is always there to be made, wouldn’t you agree?
Ifeanyi Enoch Onuoha|Be not anxious;yesterday is your experience, today is your experiment and tomorrow is your expectation. Maximize the time!
James Ticknor|Never trust a fiction author. They spend countless hours making you believe in a world they created. They are among the best, most dedicated liars in the world.
Anna White, Mended: Thoughts on Life, Love, and Leaps of Faith|This is the only advice I offer you. Pick the small thing, and carry it on. Let it change your life.
