Unknown Author 365|If you actually want something and are really passionate about it, you will get it no matter what.
Fiona Thrust, Naked and Sexual|He was the kind of man I wanted: wild, hot, horny, and losing control. And it all pointed back to me, about how much I felt in control of him, with the power of my body.
Fiona Thrust, Naked and Sexual|I heard him sweeping with the broom, and then he suddenly stopped.I had obviously got his attention, and he was lo
Fiona Thrust, Naked and Sexual|I could feel his whole body trying to claim me, want me, own me in lust, and it made me feel so valuable and wanted. As I was bent over the table, I felt like I was the world to him, and he could think of nothing else, could feel nothing else: he was consumed with my body, dedicated to exploring my female sexual power and energy, and his desperate hitting of me with the belt felt like he would rather die, than be without the chance to connect with me in sex.
Isaiah Berlin, The Roots of Romanticism|Romanticism embodied "a new and restless spirit, seeking violently to burst through old and cramping forms, a nervous preoccupation with perpetually changing inner states of consciousness, a longing for the unbounded and the indefinable, for perpetual movement and change, an effort to return to the forgotten sources of life, a passionate effort at self-assertion both individual and collective, a search after means of expressing an unappeasable yearning for unattainable goals.
Fiona Thrust, Naked and Sexual|Lust, pure gorgeous lust: the sacred energy that elevates us, and makes us feel so special.
Fiona Thrust, Naked and Sexual|The air felt thick with the feeling between us, like it was filling the room: a room full of our carnal heat, our hot desire for each other. Both my hands were clenched on the tablecloth, bunching it tightly, as he continued to swipe the belt against my quivering ass cheeks, and I could feel his tight fist yank repeatedly on my hair.
Fiona Thrust, Naked and Sexual|I want you to fuck me, Chris,’ I said, lustfully whispering the words into his ear as he planted kisses on my neck. His lips were wild and yearning, eagerly devouring me.
Fiona Thrust, Naked and Sexual|I thought to myself how we were so wrapped up in this animal act, that he couldn’t care less about his tea shop business, and I couldn’t care less about my job. That’s real sex that is, real passion: where you abandon all your boringly sensible thoughts, and all that tediously responsible side of yourself, as you give yourself to what you know really matters more, deep in the core of you: frantic sex.
Michael Bassey Johnson|Always try to come back to your senses when in love, because that's the moment you become almost carried away by sensuality and sentiments.
Fiona Thrust, Naked and Sexual|He lashed the belt against my ass again, and I was starting to feel like I was some supernatural being that was more than he was. He was just human, but I felt like something from heaven, an angel from the stars, that had come down to grace him with my presence. How beautiful lust is, when it makes you feel this way. Have you felt this yourself, do you know what I mean?
Fiona Thrust, Naked and Sexual|There we were, filled with pure animal need, as he pinned me to the wooden table, and cruelly whipped my naked bottom; the two of us sweaty and panting, me screaming, him grunting, our primal sexual natures overprinting the tea room’s pretence at gentility, and refinement.
Israelmore Ayivor, Shaping the dream|Take distinct steps and exploits. Those who are distinct and distinguished always score distinction. Go there, be there and stay there.
Fiona Thrust, Naked and Sexual|He was the kind of man I wanted: wild, hot, horny, and losing control. And it all pointed back to me, about how much I felt in control of him, with the power of my body.I felt so in control of him; it was dizzying, and intoxicating.
Lailah Gifty Akita|P's of life; Passionate life, Persistent life.
Fiona Thrust, Naked and Sexual|You know, there’s no pleasure like the joy of being a sexual woman. You can take your careers, your money, your houses and possessions, and you go and throw them in a 
Fiona Thrust, Naked and Sexual|He handed the dust pan and brush over. I knew they wouldn’t be much use in cleaning the floor. I also knew the real reason he had given them to me: so he could look furtively at me, as I bent over.That idea turned me on. I welcomed it, and decided to give him a good look at what he wanted.
Fiona Thrust, Naked and Sexual|He pulled my head back further, and I could hear his ragged breathing as his mouth came close to my ear, sounding so desperate for me. God, I was turned on so much…
Heidi Reagan|...as we mature, we begin to realize that life in the Box remains the same, with few deviations from this norm.
Heidi Reagan|Despite the restrictions, we are safe within (the Box). But – and here is the problem – once we identify something more, that awareness irrevocably changes our perceptions of the Box.
Fiona Thrust, Naked and Sexual|The thought went through my mind that we should film ourselves in our sexual act, and project our frenzied copulation permanently onto the walls of the tea-room, as a lesson to wake up the boring people who drank tea here, and to show them what life was really all about.
Fiona Thrust, Naked and Sexual|You know, there’s no pleasure like the joy of being a sexual woman. You can take your careers, your money, your houses and possessions, and you go and throw them in a lake. Because life is really all about sex. That’s what I keep learning, again and again. It’s the most important thing, woven into the very centre of life. And I just know I was put on this earth to be a sexual woman, and to explore as much about sex as I can.
Fiona Thrust, Naked and Sexual|I’d love to be tried out,’ I said, with a suggestive smile. ‘One should always explore something, before one goes in deeper.’I saw a little flicker of fun in his eyes.
