Mark Haddon, The Curious Incident of the Dog in the Night-Time|... why I like timetables, because they make sure I don't get lost in time.
Wendell Berry, Jayber Crow|But love, sooner or later, forces us out of time. It does not accept that limit. Of all that we feel and do, all the virtues and all the sins, love alone crowds us at last over the edge of the world. For love is always more than a little strange here. It is not explainable or even justifiable. It is itself the justifier. We do not make it. If it did not happen to us, we could not imagine it. It includes the world and time as a pregnant woman includes her child whose wrongs she will suffer and forgive. It is in the world but is not altogether of it. It is of eternity. It takes us there when it most holds us here.
James Emery White|The great opposition to reading is what I allow to fill my time instead of reading. To say we have no time to read is not really true; we simply have chosen to use our time for other things, or have allowed our time to be filled to the exclusion of reading. So don't add reading to your to-do list. Just stop doing the things that keep you from doing it. But read.
Belsebuub|Esoteric things progress not according to time, but by activity, they can be slow or quick, depending upon the efforts made.
Kathryn Lasky, Lone Wolf|You must not think of time as a quantity, a period, a measure. Look at the sky," Gwynneth said. "The moon has now slipped away to another night, into another world. It was not the time it was here that you remember, Faolan, but rather the luminescence of the air, the blue shadows cast by the trees in its light. It was not the length of the time but the quality of the moon's light that you felt and remember." Gwynneth paused. "It is the value, the quality that lives on.
Charles Alexander Eastman, Indian Heroes and Great Chieftains|Gradually it became known that the new race had a definite purpose, and that purpose was to chart and possess the whole country, regardless of the rights of its earlier inhabitants. Still the old chiefs cautioned their people to be patient, for, said they, the land is vast, both races can live on it, each in their own way. Let us therefore befriend them and trust their friendship. While they reasoned thus, the temptations of graft and self-aggrandizement overtook some of the leaders.
Sherry Turkle, Alone Together: Why We Expect More from Technology and Less from Each Other|Because you can text while doing something else, texting does not seem to take time but to give you time. This is more than welcome; it is magical.
William Faulkner, The Sound and the Fury|And so I told myself to take that one. Because Father said clocks slay time. He said time is dead as long as it is being clicked off by little wheels; only when the clock stops does time come to life. The hands were extended, slightly off the horizontal at a faint angle, like a gull tilting into the wind.
Justin Taylor|It is still this moment and that will be true of every moment that follows, assuming this moment ever ends, which, if I am lucky, it won't.
Ethar El-Katatney, Forty Days and Forty Nights - in Yemen: A Journey to Tarim, the City of Light|[T]he people who are close to Allah worry so much about wasting time that they call themselves to account for every breath they spend - how many of us wonder about how we spend our day, let alone each breath?
Fola, The Seed|What is far is very close, and what is close is very far
Robert Penn Warren|you live through . . . that little piece of time that is yours, but that piece of time is not only your own life, it is the summing-up of all the other lives that are simultaneous with yours. It is, in other words, History, and what you are is an expression of History.
Sebastian Barry, The Secret Scripture|It is always worth itemizing happiness, there is so much of the other thing in a life, you had better put down the markers of happiness while you can.
cG9sYXJhZGl0aWE=|I'm sure, the highest capacity of storage device, will not enough to record all our stories; because, everytime with you is very valuable data
