Santosh Kalwar|Born to be wild; born to be free; nobody owns you; you are, a romantic tree.
Jessica Day George, Princess of the Midnight Ball|No need, no, need. Life is already too short to find it.
Shannon Hale, Enna Burning|I'm a terrible prince. I should put my kingdom first and everything else second, but your first. I want you by my side every second, but I know I would crumble if I lost you.
Y.S. Lee, The Traitor in the Tunnel|He smiled. "I suppose I thought we'd have a madly impractical, terrifyingly modern sort of marriage. One based on love. Not to mention dangerous undertakings and hair's-breadth escapes from burning buildings, high ledges and exploding sewers.""And bickering.""Always that, yes.""Assuming I want to marry at all.""True. I know of no good way of forcing you to do anything.""And you're mad enough to think it could work - one day?"He cupped her face in his hands. His smile was so brilliant it seemed to illuminate the room. "I think it would be heaven."She trembled, then. "You have a very strange idea of heaven.""Kiss me and see.
Molly McAdams, Stealing Harper|Live, Princess, for me. I love You
Sylvain Reynard, Gabriel's Inferno|Miss Mitchell had a lovely voice, it was true, but Miss Mitchell speaking Italian was something celestial. Her ruby mouth opening and closing, the delicate way she almost sang the words, her tongue peeking out to wet her lips from time to time...Professor Emerson had to remind himself to close his mouth after it had dropped open.
Lauren Morrill, Meant to Be|Point is, maybe some people wouldn't want to be around me all day, but there are people out there who would. And they're smart and funny. And they like some of the same things I like and hate some of the things I hate, but they also introduce me to all kinds of new things. That's as close to 'meant to be' as I can imagine.
Sherry Thomas, Not Quite a Husband|Sometimes limbs must be re-broken to set properly, her heart too needed to shatter anew before it could truly heal.
Lawrence Krauser, Lemon|There was a time when our desire for each other would have landed us in an asylum or prison, had it not been sanctioned by mutual assent. True or false.
L.J. Smith, The Passion|More than anything." Rob persisted. "You'd crawl on your belly over broken glass for her. Easy.
Samantha Young, Down London Road|Cam and I just broke up."Cam laughed, hugging me even tighter into his side.I huffed, trying to wriggle free. "What are you doing?""Getting back together with you.
Robin Wijaya, Menunggu|Kalau kamu percaya takdir, aminkan dalam hati, kita bertemu lagi suatu hari nanti
Veronica Rossi, Under the Never Sky|She’d fallen into a deep silence once, when the sun appeared, and it was then he’d wondered most what she was thinking.
Marcia Lynn McClure, The Whispered Kiss|Scars are but evidence of life," Coquette said. "Evidence of choices to be learned from...evidence of wounds...wounds inflicted of mistakes...wounds we choose to allow the healing of. We likewise choose to see them, that we may not make the same mistakes again.
Hailey Abbott, Getting Lost with Boys|Never let a boy know you’re crazy about him. He’ll lose interest, and then you’ll be a loser.
Lisa Kleypas, Where Dreams Begin|I'll follow you to the next life if I have to," he whispered harshly in her ear. "You'll never be free of me. I'll chase you through heaven and hell and beyond." He continued to whisper without stopping while his hands gripped her body close to his. "You stay with me, Holly," he muttered savagely. "Don't do this to me. You stay, damn you.
Julia Quinn, Romancing Mister Bridgerton|Felicity," Mrs. Featherington interurupted, "why don't you tell Mr. Brdgerton about your watercolors?"For the life of him, Colin couldn't imagine a less interesting topic (except maybe for Phillipa's watercolors), but he nonetheless turned to the youngest Featherington with a friendly smile and asked, "And how are your watercolors?"But Felicity, bless her heart, gave him a rather friendly smile herself and said nothing but, "I imagine they're fine, thank you.
Susan Elizabeth Phillips, Lady Be Good|Now, this is where I draw the line! It's bad enough everybody in town's going to be thinkin' I'm sleeping with a depressed, lice-ridden, hemorrhoidal foreigner who likes to be tied up and might be pregnant, although-since she's just about cornered the market on condoms-I don't know how that could have happened. But I will not-you listen to me, Emma!-I absolutely will not have anybody thinkin' a woman of mine needs a vaginal moisturizer, do you hear me?
Lee Monroe, Dark Heart Forever|Our hearts are bound together,' he said, 'and I am free to decide who I love. And what I want. Nothing - not the pressure of my family, or what anyone else thinks - matters.
Charlotte Brontë|I knew you would do me good in some way, at some time--I saw it in your eyes when I first beheld you.
Katie MacAlister, Holy Smokes|Hey!” I said, indignation filling me. “I’m immortal! Doesn’t that mean I won’t get saggy boobs and gray hair? Because if it doesn’t mean that, I want a refund—
Abbi Glines, Fallen Too Far|Please. Forgive me. One more chance, Blaire. I want this. I want you.
Kathy Love, Wanting Something More|And I know that when you get hurt, your first instinct is to run. But I also realized something else. No one has ever followed you when you did run. But I'm going to follow, and I'm going to keep following until you realize that you can trust me. I'm not going to let you run away from something that could be so great. That is so great. Marty, I love you.- Nate
Truman Capote, Summer Crossing|You cold or something?' he said. She strained against him; she wanted to pass clear through him: 'It's a chill, it's nothing'; and then, pushing a little away: 'Say you love me.'I said it.'No, oh no. You haven't. I was listening. And you never do.'Well, give me time.'Please.'He sat up and glanced at a clock across the room. It was after five. Then decisively he pulled off his windbreaker and began to unlace his shoes.Aren't you going to, Clyde?'He grinned back at her. 'Yeah, I'm going to.'I don't mean that; and what's more, I don't like it: you sound as though you were talking to a whore.'Come off it, honey. You didn't drag me up here to tell you about love.'You disgust me,' she said.Listen to her! She's sore!'A silence followed that circulated like an aggrieved bird. Clyde said, 'You want to hit me, huh? I kind of like you when you're sore: that's the kind of girl you are,' which made Grady light in his arms when he lifted and kissed her. 'You still want me to say it?' Her head slumped on his shoulder. 'Because I will,' he said, fooling his fingers in her hair. 'Take off your clothes--and I'll tell it to you good.
Jodi Picoult, Vanishing Acts|When I'm with you, bells go off in my head like a moving truck that's backing up.
Richelle Mead, The Indigo Spell|Sydney, don't leave Adrian because of me.""It's more complicated than that," I said automatically."It's really not," she said. "From everything I've seen and heard, you're just afraid. You've always controlled every detail of your life. When you couldn't-like with the Alchemists-you found a way to seize back that control.""There is nothing wrong with wanting control," I snapped."Except that we can't always have it, and sometimes that is a good thing. A great thing, even," she added. "And that's how it is with Adrian. No matter how hard you try, you aren't going to be able to control your feelings for him. You can't help loving him, and so you're running away. I'm just an excuse.
Pittacus Lore, The Rise of Nine|No more, no less. I'm an idiot. I really need to let this crush go.
Nora Roberts, Born in Fire|He wanted to be a poet,' someone else put in while Maggie hugged Tim and patted his back. 'Said he'd only lacked the words to be one.
Rachel Caine, Glass Houses|Now," said Brandons low, cold voice. "Lets not be rude eve.
Bridget Zinn, Poison|Kyra." Fred caught Kyra's eyes. "I'm not in love with Ariana and I don't want half the kingdom.""You don't?"He shook his head. "But I might stick around for a little while longer. There are some interesting things in the Kingdom of Mohr.""Like what?""Like a certain funny and extremely talented potioner."Kyra took a breath. "I have to warn you, Hal isn't that great as a boyfriend. He's pretty self absorbed.
Meredith Duran, Bound by Your Touch|He smiled. "How kind of you to confirm what I already know. Perhaps next you will introduce me to myself. I hear I am quite popular.
Cora Carmack, Losing It|Bliss, I don’t normally do things like that. But I was second-guessing everything about coming here, and you were everything I needed. I don’t know how many times I’ve stopped myself from coming over here and knocking on your door. And yes, seeing you with Cade was definitely motivation, but more than that... I just like you, Bliss. As a teacher. As a person. As a guy.
Pamela Clare, Breaking Point|He held up the AK-47, the muscles in his arm bunching against the weight. “This is an assault rifle.” Then held up the handgun. “This is a semi-automatic pistol.” Then he gave a little thrust of his hips and looked down at his penis. “That is my gun. As you’ve discovered, it’s pumpaction like a shotgun , but it doesn’t fire bullets.
Charlaine Harris, Dead to the World|We could go back to your house. I can stay with you always. We can know each others bodies in every way, night after night. I could love you. I could work, you would not be poor. I would help you.
