Cassandra Clare|I think that's just a story.""But, Jace," she said. "All stories are true.
J.R.R. Tolkien, The Silmarillion|Now fair and marvellous was that vessel made, and it was filled with a wavering flame, pure and bright; and Earendil the Mariner sat at the helm, glistening with dust of elven-gems, and the Silmaril was bound upon his brow. Far he journeyed in that ship, even into the starless voids; but most often was he seen at morning or at evening, glimmering in sunrise or sunset, as he came back to Valinor from voyages beyond the confines of the world.
Ness Kingsley, The Curse of Cackling Meadows|I hope so,” grumbled Ian. “I’m going to look for another one of ‘em winged dogs for Mabel.
Tony Rabig, Doorways|When it came to time travel, science and science fiction and fantasy had flip-flopped. Nobody was going to create a machine that traveled to the future or the past. Time machines might be accepted in science fiction as an enabling device to get the story moving, but they're like faster-than-light space ships-- neither one is going to happen any time soon, not with any technology we know how to implement.The guys who had it figured were the fantasists, Dennis. The Finneys and the Mathesons and the Ellisons and the Serlings. No machines and no advanced physics, at least not most of the time. Just an overpowering desire. Just need and longing and pain and regret and the right talisman or the right surroundings. Put the right person in the right place, and perhaps with the right objects, and the potential for time travel is there.
N.K. Jemisin, The Hundred Thousand Kingdoms|He has come to seduce the god of seduction, and oh, has he come prepared.
Christie Golden|Each part of your body corresponds with an element,” the Maiden explained. “Your hair is air. How you toss your head, play with your hair - that is all for air magic. You can command the wind. Arms are for fire,” she said, making fluttery, flame-like motions with her tendriled fingers and slim green arms. “Fire, fire elementals, electricity, light, and heat come from their movements. Water,” she said, swaying her hips, “is from your center. This is why your middle must be free to move. And earth is the feet, where you make contact with the mother of us all.
Deborah Blake, Wickedly Magical|She was tasked with guarding the doorway to the Otherworld, keeping the balance of nature (as much as anyone could in these modern times), and occasionally, helping a worthy seeker.
Vishwanath S J|If the future historians were to digitally unearth our generation, they would decipher the facial expressions on the "Selfie's" as the generation of people suffering from wide spread constipation!
Deborah Blake, Wickedly Magical|Is he evil?" the dog asked, an eager gleam in his wide brown eyes. "If he's evil, I'd be happy to eat him for you.
Kelly Link|Bethany had liked Miles because he made her laugh. He makes me laugh, too. Miles figured that digging up Bethany's grave, even that would've made her laugh. Bethany had had a great laugh, which went up and up, like a clarinetist on an escalator. It wasn't annoying. It had been delightful, if you liked that kind of laugh. It would have made Bethany laugh that Miles Googled “grave digging” in order to educate himself. He read an Edgar Allan Poe story. He watched several relevant episodes of Buffy The Vampire Slayer, and he bought Vicks®VapoRub™, which you were supposed to apply under your nose.
Deborah Blake, Wickedly Magical|A Baba Yaga never breaks a promise. Legs, yes. Hearts, occasionally. But never a promise.
