Rasheed Ogunlaru|The mind defines, decides, doubts and divides - only the heart truly binds.
Ellen J. Barrier, The Price We Must Pay for Our Father's Sins|The strength of a man is in his character. A strong man is great man of wisdom who understands, his top priority is to his family.
Amit Kalantri|Never stop acquiring the commonsense, it is as good as the knowledge.
Amit Kalantri|Man kept control over the machines he created, I wish God would have done the same with the man he created.
Amit Kalantri|I don't put my ideas in a meeting for acceptance or rejection, I put them in the market for success or failure.
Amit Kalantri|If monkey became a man, then a man can become a hero.
Ray Price Billy|If you have something to say, make it meaningful, all else is meaningless.
Ernest Agyemang Yeboah, Distinctive Footprints of Life: Where Are You Heading Towards?|some call their mistake a discovery;to others, their mistake is a misfortune and to most people a mistake is a deviation from the acceptable. A mistake is a mistake depending on what we think it is.
Ernest Agyemang Yeboah, Distinctive Footprints of Life: Where Are You Heading Towards?|until the stone becomes soft, it cannot attach itself to the wall.
C. JoyBell C.|Incredible how so many people have no sense of honor. How does this happen? This happens by thriving on how one appears to the world around him rather than cultivating a person inside him that he knows is honorable and that he can be proud of. When all the focus is on what people think about you based upon your facebook profile or based upon the exterior that you put on everyday; you leave no room for looking at yourself and saying, "I want to look into the mirror every day and see someone that I can be proud of." And that's what a life of honor is based upon. It is based upon the knowledge that you know your own actions, your own self, and you can see the things that you do and know the things that you think. You answer to yourself, therefore, your standards need to come up to what you expect of yourself. It doesn't matter at all if anybody is looking. When such a sense of honor is present in a large group of people, that's when we see no crime rate or a very low crime rate, respect for other human life and personas, respect for the surroundings and really a respect for oneself. Because a respect for other people can only first be born from a true respect for oneself.
C. JoyBell C.|Humans are strange things. They have sex with each other; but are too ashamed to say sorry to one another, they see what they have when they've lost what they have; but not while they have it, they are the most proud on the outside during the times they are the most insecure on the inside, and they would rather die manipulating others than be brave enough to be honest. They can't even look in the mirror properly. All they see are their shells in the mirror; nothing else.
Amit Kalantri, Wealth of Words|You don't need to wish harder, you need to work harder.
C. JoyBell C.|Complexity looks at simplicity and laughs at it for being too simple. But this is stupidity. Which is more valuable? The drop of pure rose oil or the cologne that mixes that one drop with many other things in order to make it affordable enough? It takes 60,000 roses to make a single ounce of rose oil. In simplicity there is value, there is meaning. Complexity is what happens when value and meaning are watered down. Don’t play games with pure-hearted people; they don’t need your rubbish. And don’t try to water them down so you can afford them.
C. JoyBell C.|People decide they like one another, based upon the color of their shells that they wear on the outside of them. And then they decide to leave one another, based upon the color of their souls that is who they really are underneath the shell. I think it should be the other way around. I think people should decide they like one another, based upon the color of their souls and then decide to leave one another if they run into the shells. But then it's not even that. What if they loved the soul and then broke down each others' shells when they ran into them? Then nobody would leave anybody and everybody would know what love means.
Amit Kalantri|If you can confess before a friend, you don't need a priest.
C. JoyBell C.|And then I decided to be pro me. Be pro you to the end. No more cutting up myself and serving up myself like pieces of a pie for everyone's tasteless palates. And that doesn't mean you don't know how to say sorry; because being pro you means being pro growth and pro improvement. When I'm wrong, I know I'm wrong and I say that I'm wrong. And that's how I know I'm right!
Eric Micha'el Leventhal|You know you possess the soul of an artist when, each time you sit down to create, the whole universe lays itself at your feet.
Amit Kalantri|If you fulfill the wishes of your employees, the employees will fulfill your visions.
Liam Howley, The Absurd Demise of Poulnabrone|...life's about accumulating wrinkles, deep as rivers and as wide as is needed to travel along their path, so that by the time you're ready to die, your life can be read.
Amit Kalantri|Capability can handle challenges, it doesn't accept charity.
Amit Kalantri|Doing better is creativity, doing faster is creativity, doing smarter is creativity, doing right is creativity.
Munia Khan|If wisdom is a place, you should be the wisest one to live there..
