|When there is no presence of self-love, the hunger for attention tends to take over one's mind
Antoine Lavoisier|The human mind adjusts itself to a certain point of view, and those who have regarded nature from one angle, during a portion of their life, can adopt new ideas only with difficulty.
Farid F. Ibrahim|Medicine is not a book but mind, not a business but life
Anno Nomius, Thoughts from a naked unshackled mind|5 decades since JFK’s inaugural address it is time now to ask, what your country can do for you & not what you can do for your country. You, my friend have done enough!
Zhuangzi, The Complete Works of Chuang Tzu|The Perfect Man uses his mind like a mirror - going after nothing, welcoming nothing, responding but not storing.
Amaka Imani Nkosazana, Sweet Destiny|Follow the path that leads to understanding. Only then, will you illuminate the way for others. Once you open your mind and gain knowledge, truth, you'll leave the darkness and enter into the light of wisdom.
Liezi, Lieh-tzu: A Taoist Guide to Practical Living|A person with a mind is bound to be filled with conceptions. These conceptions prevent him from knowing things directly, so a person with a mind shall never really know.
Aldous Huxley, The Doors of Perception & Heaven and Hell|To make biological survival possible, Mind at Large has to be funnelled through the reducing valve of the brain and nervous system. What comes out at the other end is a measly trickle of the kind of consciousness which will help us to stay alive on the surface of this particular planet. To formulate and express the contents of this reduced awareness, man has invented and endlessly elaborated those symbol-systems and implicit philosophies which we call languages. Every individual is at once the beneficiary and the victim of the linguistic tradition into which he or she has been born -- the beneficiary inasmuch as language gives access to he accumulated records of other people's experience, the victim in so far as it confirms him in the belief that reduced awareness is the only awareness and as it be-devils his sense of reality, so that he is all too apt to take his concepts for data, his words for actual things.
Amaka Imani Nkosazana, Sweet Destiny|Free your mind from the prison of your past. Time has allowed you to grow and develop into the person you're meant to be. Now, you are living a purposed filled life.
Christmas Humphreys, The Buddhist Way Of Life|Of course the thinking mind must sooner or later be controlled, developed, and supplied with the force of will for a break-through to non-thinking, a direct experience of non-duality. But at what stage?
Zhuangzi, The Complete Works of Chuang Tzu|The Spirit Tower has its guardian, but unless it understands who its guardian is, it cannot be guarded.
Chris Matakas, My Mastery: Learning to Live through Jiu Jitsu|We see that the vast majority of our suffering is needless, and simply arises from the misidentification with our thinking mind.
The Mumonkan Case 29 translation by Robert Aitken|Two monks were arguing about the temple flag waving in the wind. One said, "The flag moves." The other said, "The wind moves." They argued back and forth but could not agree. The Sixth Ancestor said, "Gentlemen! It is not the wind that moves; it is not the flag that moves; it is your mind that moves.
Idries Shah, Sufi Thought and Action|People who cannot trust are themselves not trustworthy, and therefore cannot be entrusted with important things.
Michael Bassey Johnson|Your mind is like a tunnel that has no end, and a baloon, that even too much air cannot burst.
Dan O Donnell|Your mind is a wonderful tool for creating what your soul wants. Use the tool, don't let it use you.
Jiddu Krishnamurti|To put it differently, as long as mind and heart are caught up in want, in desire, there must be emptiness.You want things, ideas, persons, only when you are conscious of your own emptiness, and that wanting creates a choice.When there is craving there must be choice, and choice precipitates you into the conflict of experiences.You have the capacity to choose, and thereby you limit yourself by your choice. Only when mind is free from choice is there liberation.
Deepak Chopra|We are well on our way to a unified theory of biology that will merge body and environment, brain and mind, genome and microbiome.
Stanley Milgram|Each individual possesses a conscience which to a greater or lesser degree serves to restrain the unimpeded flow of impulses destructive to others. But when he merges his person into an organizational structure, a new creature replaces autonomous man, unhindered by the limitations of individual morality, freed of humane inhibition, mindful only of the sanctions of authority.
James Dickey|In his mind he was always leaving, always going somewhere, always doing something else.
Dalai Lama XIV, The Universe in a Single Atom: The Convergence of Science and Spirituality|The theory of emptiness…is the deep recognition that there is a fundamental disparity between the way we perceive the world, including our own existence in it, and the way things actually are.
Israelmore Ayivor, Dream Big!: See Your Bigger Picture!|Positive people know what they are about to do and why. Because of this, when they are being haunted by the premature quest to give up, they focus their minds onto the joy of accomplishing their pursuits.
Emily P. Freeman, Grace for the Good Girl: Letting Go of the Try-Hard Life|Picture a girl with her arms full of small packages, too many to hold all at once. When they topple and fall all around her, she stoops down and scoops them all back up, literally re-collecting all the gifts that are already hers. To set your mind is to recollect truth that already belongs to you.
John Steinbeck|I wonder about people who say they haven't time to think. For myself, I can double think. I find that weighing vegetables, passing the time of day with customers, fighting or loving Mary, coping with the children-- none of these prevents a second and continuing layer of thinking, wondering, conjecturing. Surely this must be true of everyone. Maybe not having time to think is not having the wish to think.
Julian Jaynes|Subjective conscious mind is an analog of what is called the real world. It is built up with a vocabulary or lexical field whose terms are all metaphors or analogs of behavior in the physical world…concrete metaphors increase enormously our powers of perception of the world about us and our understanding of it, and literally create new objects.
Jonathan Harnisch, Jonathan Harnisch: An Alibiography|No, Ben. What I’m asking is: Are you the vehicle, and Georgie rides around in you? That is why Ben’s the driver, right?
Hermann Hesse|The mind cannot live in nature, only against nature, only as its counterpart.
Zenfex|The mind is matter in and of itself, but I don't mind, and it doesn't matter.
George Lakoff, Philosophy in the Flesh: The Embodied Mind and its Challenge to Western Thought|The properties of mind are not purely mental: They are shaped in crucial ways by the body and brain and how the body can function in everyday life. The embodied mind is thus very much of this world. Our flesh is inseparable from what Merleau-Ponty called the "flesh of the world" and what David Abram refers to as "the-more-than-human-world." Our body is intimately tied to what we walk on, sit on, touch, taste, smell, see, breathe, and move within. Our corporeality is part of the corporeality of the world.
Abha Maryada Banerjee, Nucleus: Power Women: Lead from the Core|It works...conditioning your mind to see something positive in anything! Anything that happens to you, anything said to you, anything said about you.I have the choice to INTERPRET it in a way that is positive.Surefire way to imbibe Pollyana attitude !
Vivian Amis, I Am: The Key to Manifesting|To think is to have doubt....yet even thinking will bring you to "no thought"....eventually.
Lailah Gifty Akita, Think Great: Be Great!|The power of great thoughts,timeless possibilities.
John Steeksma|And if ever you need encouragement, remember at least two sober facts which nobody can rationally deny: that you are a new and unique living force in nature, and that you can, by taking thought and pursuing it, become more and more intensely alive.
Zelda la Grange, Good Morning, Mr Mandela|[Mandela] had believed all his life that you are very much in control of your own body, and, in the process of healing, your mind had to be stronger than the medicines applied. You also had to have determination to get better.
Charlotte Eriksson|I am living a simple life with a complicated mind and I have yet to find a state of mind where I feel safe with who I am, where I am, with what I do.
Johann Wolfgang von Goethe, Faust, Part Two|To end the greatest work designed,A thousand hands need but one mind.
Jonathan Harnisch, Second Alibi: The Banality of Life|The drug I take is called schizophrenia, among other labels, which I desperately want to put away. I want to put the drug of schizophrenia down, and I want to put down the stigma surrounding its label.
Henri J.M. Nouwen, Bread for the Journey: A Daybook of Wisdom and Faith|Our minds are always active. We analyze, reflect, daydream, or dream. There is not a moment during the day or night when we are not thinking. You might say our thinking is 'unceasing.' Sometimes we wish that we could stop thinking for a while; that would save us from many worries, guilt feelings, and fears. Our ability to think is our greatest gift, but it is also the source of our greatest pain. Do we have to become victims of our unceasing thoughts? No, we can convert our unceasing thinking into unceasing prayer by making our inner monologue into a continuing dialogue with our God, who is the source of all love.Let’s break out of our isolation and realize that Someone who dwells in the center of our beings wants to listen with love to all that occupies and preoccupies our minds.
Sri Sri Ravi Shankar|Nothing in the world can bother you as much as your own mind, I tell you. In fact, others seem to be bothering you, but it is not other, it is your own mind.
Roseville Nidea|A 21st century poet is a woman who can speak her mind and stand upright like a mountain with her convictions, but can adapt like water in an ever changing season without losing her genuine elements.
Joseph Conrad|The mind of man is capable of anything - because everything is in it, all the past as well as the future.
T.S. Wright|The ideas flow like milk and honey in my land, my mind.
José Ortega y Gasset|Self-reflection or autognosis reveals that what is given in consciousness is, first and foremost, integral connectedness and organic unity of all thinking, feeling, and desiring. At the same time, self-reflection reveals that this connected unity is the ultimate reality that can be reached. "Consciousness cannot go behind itself." Whatever we propose to think forms part of this organic unity of our mind and is a result or consequence of it. There is no means of jumping beyond consciousness, and any attempt to explain with the help of any other imaginary system the radical connectedness in which we live and that is our mind would be absurd. Our mind is the very presupposition of all explanation. For to explain a phenomenon means, in the last instance, to point out its place and its part within the living economy of consciousness, and to determine the "meaning" it has in the original source of all meaning: life.
David Hoffmeister, Unwind Your Mind Back to God:  Experiencing A Course in Miracles|Your desire and willingness will call forth witnesses to Awakening, and there is nothing in form that can speed up Awakening – for form but witnesses to the desire within.
Israelmore Ayivor, Dream Big!: See Your Bigger Picture!|Man’s mind is a coast of great monuments, the source of wild and complex dreams and accomplishments that physical eyes have not seen.
Ajay Chandan|Having equipped ourselves with sophisticated living, we've lost something which is essential in its exclusivity, it's neither morals nor values, neither power nor determination, neither intelligence nor knowledge, neither warfare nor bloodshed, the uniqueness that we really lost is our capacity to THINK; Worst part is our willingness to stay with its ramifications
Waheed Ibne Musa, Johnny Fracture|The mind can be hunted, but hunting needs the mind.
Charlotte Joko Beck|103When we try to be something that we are not, we become the slave of a rigid, fixed mind, following a rule about how things have to be. The violence and the anger in us remain unnoticed, because we are caught in our pictures of how we should be.
Debasish Mridha|Endless ocean, blue water, dreamy sky, tranquil beach, love in the air, mind fly high.
Shannon L. Alder|What you keep alive is what you truly care about, no matter how many times you die in the process.
Munia Khan|When you become a raindrop in your mind Thunder is the closest friend you may find Wind lashed trees, dark clouds, lightning or the dust Everything you will bear once you adjust
Kevin Michel, Moving Through Parallel Worlds To Achieve Your Dreams|More than ninety-five percent of your brain activity, as you consciously read this sentence, is being used by your subconscious mind.
Michael Bassey Johnson|Your mind is a key, and whatever it unlocks, the greatest treasure of all.
Mehek Bassi|To maintain peace in the world, first maintain peace inside of you. A restless mind can never generate beneficial ideas.
Ryan Lilly|One of my relatives invented the sensory deprivation tank. Appropriately, most of my family has never seen or heard of him.
Rola Mahmoud|There is a fine line between any contradictory matters. When our souls fail to spot it before our minds, we lose track of both reality and vision in which lead to a one way ticket for an unknown path
Kishore Bansal|Our mind, keep all the record of our emotions, wrapped in hope and preserve it.
Ernest Agyemang Yeboah, The Untapped Wonderer in You: Dare to Do the Undone|A clear line of distinctness must be drawn between the environment of the body and the environment of the mind or both the body and the mind be regarded as intertwined and be deprived of strength and efficiency. When the body is in crises, the mind must not be and when the mind is in crises, the body must not be. Such is tenacity and nimbleness
