Peter Ackroyd, The Canterbury Tales: A Retelling|Women, of their nature, crave for liberty; they will not be ordered around like servants.
Nelson Algren, The Neon Wilderness|She was neither widow nor mother: she only yearned for the dignity of a woman who had once belonged, somewhere, to somebody. She had belonged to no one, for she had never wanted chick nor child. Her idea of home had been any side-alley entrance and a pint of tinted gin. All she had ever striven for was small change left lying by strangers on North Clark Street bars; and any man's bottle at all.
Kyrian Lyndon|The rationale seems to be that we keep people as victims by validating them, empathizing with them, and fighting alongside them for equality and the dignity they deserve. I don’t think people are kept down by that. I believe what keeps people down is the constant dismissal of their pain, the degradation, the humiliation, the fear of injustice, and the continuous crushing of their will, their faith, and their hope. This type of oppression kills the self-esteem people need to empower themselves, and it's flat-out terrorism.
Carol Vorvain, A fool in Istanbul - Adventures of a self denying workaholic|In his humble opinion, she possessed the least appealing traits a woman can put on display: undiscriminating curiosity and nonsensical verbosity.
Emma Cline, The Girls|At that age I looked at women with brutal and emotionless judgement. Assessing the slope of their breasts, imagining how they would look in very crude positions.
Wilkie Collins, The Law and the Lady|Only give a woman love, and there is nothing she will not venture, suffer, and do.
Mary Wollstonecraft Shelley, Lodore|Yes," she thought, "nature is the refuge and home for women: they have no public career—no aim nor end beyond their domestic circle; but they can extend that, and make all the creations of nature their own, to foster and do good to.
Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women|I see stunning men walking on the street everyday. Some walk shirtless because it's hot and they feel more comfortable that way. Do I scream out at them, beep at them or whistle? No, I smile to myself in appreciation of them and drive on by. Why? Because I believe they have the right to go about their lives without me imposing my sexual desire upon them.
Fatema Mernissi, Dreams of Trespass: Tales of a Harem Girlhood|There are many ways to be beautiful. Fighting, swearing, and ignoring tradition could make a women irresistible.
Friedrich Nietzsche, Beyond Good and Evil|Men have hitherto treated women like birds which have strayed down to them from the heights; as something more delicate, more fragile, more savage, stranger, sweeter, soulful – but as something which has to be caged up so that it shall not fly away.
Friedrich Nietzsche|A real man wants two things: danger and play. Therefore he wants woman as the most dangerous plaything. Man shall be educated for war, and woman for the recreation of the warrior: all else is folly.
James C. Dobson, Life on the Edge: The Next Generation's Guide to a Meaningful Future|A guy never has a right to force a woman to have sex with him under any circumstances. She should be able to say no at any point, and he must honor that denial. It is criminal that so many girls and women are raped today. Fully 60 percent of all females who lose their virginity before age fifteen say that their first sexual experience was forced! That is a tragedy with far-reaching consequences.
Janet Fitch, White Oleander|My mother once wrote a poem about rivers. They were women, she wrote. Starting out small girls, tiny streams decorated with wildflowers. They were torrents, gouging paths through sheer granite, flinging themselves off cliffs, fearless and irresistible. Later, they grew fat servicable, broad slow curves carrying commerce and sewage, but in their unconscious depths catfish gorged, grew the size of barges, and in the hundred-year storms, they rose up, forgetting the promises they made, the wedding vows, and drowned everything for miles around. Finally they gave out, birth-emptied, malarial, into a fan of swamps that met the ocean.
Friedrich Nietzsche|Among such persons are those women who transform themselves into just that function of a man that is but weakly developed in him, and then become his purse, or his politics, or his social intercourse. Such beings maintain themselves best when they insert themselves in an alien organism; if they do not succeed they become vexed, irritated, and eat themselves up.
Anastasia Aukeman, Welcome to Painterland: Bruce Conner and the Rat Bastard Protective Association|This not to say that the men and women associated with the Rat Bastard Protective Association had freed themselves from the powerful hold of established gender roles on their lives. Shirley Burman, Joan Brown, Jean Conner, Jay DeFeo, and Joanna McClure most frequently provided the practical component of the vision they shared with their spouses; that is, the women all worked for a living... As Càndida Smith observed, the 'contradictions of this imaginary society fell most acutely upon the women, for... they carried the burden of 'holding things together'.
James C. Dobson, Life on the Edge: The Next Generation's Guide to a Meaningful Future|That’s why we must continue to support godly men and women who have dedicated their lives to Christian principles and to continuing those ideas in our offspring. Professors’ worldviews influence whatever they teach, from humanities to basic sciences, and what they think about God cannot be hidden from their students.
Helen Oyeyemi, What is Not Yours is Not Yours|She found Safiye leaning against an oil lantern out in the garden and saw for herself that she wasn't the only foolish woman in the world, or even at that party, for Safiye had Lucy's highly polished bangle in her hand and was turning it this way and that in order to catch fireflies in the billowing, transparent left sleeve of her gown.
Bruce Golden|The trouble with women is, they all become bossy in the end, like they think they own you. There's nothing I loathe more than a bossy woman. Hell, there have been times I made up my mind to give up women completely-go cold turkey. Fortunately the rest of my body never agrees. That demon pow-whammy keeps calling me back.
