ETC Wanyanwu|I walk, talk and act like a king even though I know there's no royalty in my bloodline
Apoorve Dubey|Success can make anyone look good, it is the failures that reveal the true face of a man.
Apoorve Dubey, The Flight Of Ambition|When there is truth in your being, God is always with you. When God is with you, there is no question of failure. Live your truth and not a life that others want you to live.
James C. Collins, Good to Great: Why Some Companies Make the Leap... and Others Don't|Then it began to dawn on us: There was no miracle moment. Although it may have looked like a single-stroke breakthrough to those peering in from the outside, it was anything but that to people experiencing transformation from within. Rather, it was a quiet, deliberate process of figuring out what needed to be done to create the best future results and then simply taking those steps, one after the other, turn by turn of the flywheel. After pushing on that flywheel in a consistent direction over an extended period of time, they'd inevitably hit a point of breakthrough.
Jeffrey Fry|Success comes not from having certainty, but being able to live with uncertainty.
Aamir Sarfraz (aamir rajput khan)|Work hard in Silence, Let success make the noise.
Joe Jordan, Sharpen Your Life: 52 Strategic Moments to Create a Lifetime of Success|Study the lives of highly successful people from any corner of life, across history, in any environment, and you will discover they share one trait: They keep moving forward. Sometimes slowly. Often with great difficulty. Frequently after painful mistakes, defeats, or failures. Success is less about talent and opportunities, and more about commitment and motivation.
Robin Sacredfire|In times of war, as in life, surround yourself with people of value, virtue and high morals, because it's always better to lose, perish and vanish in glory than to live in shame.
Rosette Mugidde Wamambe|When you do not have your clear definition of what success looks like, you tend to feel unsuccessful every time other people talk about their success.
Craig D. Lounsbrough|Despite the voices of the culture that would scream otherwise, victory is irreparably tied to the surrender of self. And that explains why so few are truly victorious.
Mark Manson|When the standard of success becomes merely acting—when any result is regarded as progress and important, when inspiration is seen as a reward rather than a prerequisite—we propel ourselves ahead. We feel free to fail, and that failure moves us forward.
Joe Jordan, Sharpen Your Life: 52 Strategic Moments to Create a Lifetime of Success|Wherever you are — it’s too early to draw a conclusion. You may be down, but you’re not done. Today’s defeat could be tomorrow’s gold.
Cassandra Sky West|Ability, commitment, effort. Those are the three things required to succeed. If you have them, success will happen as sure as the sun will rise.You just have to give it time
Robin Sacredfire|It may sound like a bold statement for one to claim that he is the world's best at something but it's not an impossibility. I've done it many times, and so did Olympic athletes. It requires more boldness to distrust what I just said, as those who do won't read my books and access the reasons to why they're bestsellers.
Nikki Rowe|Oh, the days will be tough that I promise is true but right around the corner the dream will be Infront of you.
Eder Holguin|Start now, do not wait for things to be perfect
Eder Holguin|Believe in yourself. Do NOT listen to the haters or to those who said "it can't be done". I had people who laughed at my dreams, who laughed at my accent or at the fact that I did not come from a wealthy family or a prestigious school; people who told me I would never succeed at anything. I have managed to prove those people wrong again and again. Believe in yourself and follow your heart, the rest will come into place in time.
Farshad Asl|An effective follow-up system is the key to an effective coaching process, which will lead to significant behavioral changes. True success is in the follow-up.
Bo Bennett|Success is not in what you have, but who you are.
DeWayne Owens|A crisp, clean $100 bill that is crumbled up, thrown to the ground, stepped on and rubbed in the dirt still maintains its value.Life may crumble you, throw you to the ground, step on you and rub you in the dirt, but you still maintain your value.Just as a crumbled up $100 bill still has purchasing power, your life still has purposeful power; and nothing or no one can ever take that away from you.
Yasmine Sherif (The Case for Humanity: An Extraordinary Session)|So far, we have only seen a glimpse of the human possibilities.
Lailah Gifty Akita|If we had not endured, we will never have succeeded.
Benjamin Lotter|Success is like a seed: the more you plant, the more you receive.
Malcolm Gladwell, Outliers: The Story of Success|The striking thing about Ericsson’s study is that he and his colleagues couldn’t find any ‘naturals,’ musicians who floated effortlessly to the top while practicing a fraction of the time their peers did. Nor could they find any ‘grinds,’ people who worked harder than everyone else, yet just didn’t have what it takes to break the top ranks. Their research suggests that once a musician has enough ability to get into a top music school, the thing that distinguishes one performer from another is how hard he or she works. That’s it. And what’s more, the people at the very top don’t work just harder or even much harder than everyone else. They work much, much harder. The idea that excellence at a complex task requires a critical minimum level of practice surfaces again and again in studies of excellence. In fact, researchers have settled on what they believe is the magic number for true expertise: ten thousand hours.
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|Always know that you are being held accountable for your actions, by your friends, family, coworkers, and most importantly, by God. Lead by example and build a team of successful people around you. By being the dependable person, success is naturally attracted to you.
Eminem|Let me remind you of what got me this far, picture me quitting, now draw a circle around it and put a line through it, sl#t!
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|Life is a moving target. So your vision needs to be an accurate objective, to give you direction for your actions. As you move toward your goal, the vision becomes even more substantive, more palpable. It becomes something you can’t wait to share with others continually. The excitement is infectious.
