Catherine Deneuve|People who know me know I'm strong, but I'm vulnerable.
Gretel Ehrlich, The Solace of Open Spaces|The toughness I was learning was not a martyred doggedness, a dumb heroism, but the art of accommodation. I thought: to be tough is to be fragile; to be tender is to be truly fierce.
John Bunyan, The Pilgrims Progress|Now, Mr. Great-heart was a strong man, so he was not afraid of a lion.
Yukio Mishima, Sun and Steel|Only through the group, I realised — through sharing the suffering of the group — could the body reach that height of existence that the individual alone could never attain. And for the body to reach that level at which the divine might be glimpsed, a dissolution of individuality was necessary. The tragic quality of the group was also necessary, the quality that constantly raised the group out of the abandon and torpor into which it was prone to lapse, leading it to an ever-mounting shared suffering and so to death, which was the ultimate suffering. The group must be open to death — which meant, of course, that it must be a community of warriors.
Kyo Shirodaira|You're not completely alone, you have me! Even if the entire world turns its back on you, you'll still be the strongest as long as you have me!
Todd  Johnson, The Sweet By and By|Risin up, when you’re weak, makes a person stronger. By standin, thery’re saying that [she] matters, and they matter too. I feel better when I think about how showin respect to one person makes every person makes every person worth more.
Henry Hazlitt, Economics in One Lesson: The Shortest & Surest Way to Understand Basic Economics|There is a strange idea abroad, held by all monetary cranks, that credit is something a banker gives to a man. Credit, on the contrary, is something a man already has. He has it, perhaps, because he already has marketable assets of a greater cash value than the loan for which he is asking. Or he has it because his character and past record have earned it. He brings it into the bank with him. That is why the banker makes him the loan. The banker is not giving something for nothing.
Jon Kabat-Zinn, Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life|YOU HAVE TO BE STRONG ENOUGH TO BE WEAKAllow yourself to feel whatever you are feeling. Notice any labels you attach to crying or feeling vulnerable. Let go of the labels. Just feel what you are feeling, all the while cultivating moment-to-moment awareness, riding the waves of “up” and “down,” “good” and “bad,” “weak” and “strong,” until you see that they are all inadequate to fully describe your experience. Be with the experience itself. Trust in your deepest strength of all: to be present, to be wakeful.
Kelli Jae Baeli, Falling Through the Cracks: The Misadventures of No One Famous|What doesn't kill you, makes you stronger...unless it instead snaps your spine. Then it makes you a paraplegic.
Criss Jami, Killosophy|To be acceptable is for one to ignore his weakness while knowing his strength, to cover the scar even though it's always there, however, to be impossible is for one to see his weakness as, not an adversary, but the cherry on top of his strength, to rearrange the scar so that it compliments his features.
G.K. Chesterton, Heretics|of being strong and brave. The strong can not be brave. Only the weak can be brave; and yet again, in practice, only those who can be brave can be trusted, in time of doubt, to be strong.
Stephen King, The Dead Zone|Nothing is ever lost, Sarah. Nothing that can't be found.
