Sandra Steffen, Come Summer|I read once that sorrow looks back, worry looks around, and faith looks ahead.
Carl Henegan|Adversity is a mirage. People, situations, and relationships sometimes change for the worst but inevitably clear a path for far better replacements. The continued journey will always find bliss.
Anthony D. Ravenscroft, Polyamory: Roadmaps for the Clueless and Hopeful: An Introduction on Polyamory|In a culture of diversity, one group is likely not "just like everyone else." To deny that we have different needs, concerns, thought processes, worldview, is to refuse to look at the reason we are supposedly an identifiable community.
B.M. Bower, The Range Dwellers|When you think of it, people may rub elbows and still have an ocean or two between them.
Kristen Crockett, The Gift of Past Relationships|Whether our caretaker was our mom, dad, uncle, aunt, grandparent, foster parent, or sibling, our blueprint of what a relationship is supposed to look like is drafted by what we observed from our caretaker’s relationship. If our caretaker took their significant other back multiple times, made excuses for their actions, helped them battle demons, turned a blind eye to their infidelity, or moved from one relationship to the next, that is what we know. Their behavior becomes our very own model of what a relationship is supposed to look like and determines what we will expect from our own partners.﻿
Barbara Dafoe Whitehead, Why There Are No Good Men Left: The Romantic Plight of the New Single Woman|We've come a long way from the time when the crowning achievement in a woman's life was her youthful marriage. And many would agree that this represents progress for women. But when did the search for someone to marry become self-absorbed and pathetic? This absence of social sympathy for women's ambitions to marry is all the more striking because the social world has cared so deeply about virtually every other aspect of these privileged young women's inner and outer lives. (...) The achievement of a good marriage is the one area of life where the most privileged, accomplished, and high achieving young women in society face a loss of support and sympathy for their ambitions and where the social expectations are for disappointment and failure, not success.
Stephen King|I know how bad you boys feel, but the sun will still come up tomorrow. And when it does, you 'll feel better. When the sun comes up the day after tomorrow, a little better still. This is just a part of your life, and it's over. It would have been better to win, but either way, it's over. Life will go on.
Josh Stern|When it comes to relationships, I find it best to have two feet out the door
Criss Jami, Killosophy|We men are fascinated by the things we don't really understand. It gives us something to think and talk about: like females, they drive us nuts.
Ian Fleming, For Your Eyes Only|I think it's the same with all the relationships between a man and a woman. They can survive anything so long as some kind of basic humanity exists between the two people. When all kindness has gone, when one person obviously and sincerely doesn't care if the other is alive or dead, then it's just no good.-- from Quantum of Solace
Oscar Wilde, The Importance of Being Earnest|LADY BRACKNELLTo speak frankly, I am not in favour of long engagements. They give people the opportunity of finding out each other's character before marriage, which I think is never advisable.
bell hooks, All About Love: New Visions|schools for love do not exist. everyone assumes that we will know how to love instinctively.despite overwhelming evidence to the contrary, we still accept that the family is the primary school for love.those of us who do not learn how to love among family are expected to experience love in romantic relationships. however this love often eludes us.
Paulo Coelho, Veronika Decides to Die|Because of that she had never had enough energy to be herself, a person who, like everyone else in the world, needed other people in order to be happy. But other people were so difficult. They reacted in unpredictable ways, they surrounded themselves with defensive walls, they behaved just as she did, pretending they didn't care about anything. When someone more open to life appeared, they either rejected them outright or made them suffer, consigning them to being inferior, ingenuous.
Harriet B. Braiker, Who's Pulling Your Strings? How to Break the Cycle of Manipulation and Regain Control of Your Life|Conflict can and should be handled constructively; when it is, relationships benefit. Conflict avoidance is *not* the hallmark of a good relationship. On the contrary, it is a symptom of serious problems and of poor communication.
Rollo May|Tenderness emerges from the fact that the two persons, longing, as all individuals do, to overcome the separateness and isolation to which we are all heir because we are individuals, can participate in a relationship that, for the moment, is not of two isolated selves but a union
Jeanette Winterson, Gut Symmetries|And you? Now that I have discovered you? Beautiful, dangerous, unleashed. Still I try to hold you, knowing that your body is faced with knives.
Yehuda Berg, The Kabbalah Book of Sex: And Other Mysteries of the Universe|A rewarding relationship occurs when there is a common spiritual goal, shared spiritual values and a mutual desire to build a relationship upon a spiritual foundation and for the purpose of connecting to the light of the creator.
Leo Buscaglia, Loving Each Other|Definition of a relationship - an enduring, mutually-agreed upon connection or union, which fulfills certain needs of the individuals involved and the society in which they live.
Valerie Tripp|If I loved someone, I could never let him go away from me. I would be too miserable and lonely.
Nathaniel Hawthorne, The House of the Seven Gables|Why are poets so apt to choose their mates, not for any similarity of poetic endowment, but for qualities which might make the happiness of the rudest handicraftsman as well as that of the ideal craftsman of the spirit? Because, probably, at his highest elevation, the poet needs no human intercourse; but he finds it dreary to descend, and be a stranger.
Ariel Meadow Stallings, Offbeat Bride: Taffeta-Free Alternatives for Independent Brides|Life, weddings, relationships, road trips, gardening, making out, haircuts: few of the fun things in life always go as expected.
Madeleine George, The Difference Between You and Me|Once," Fran says, settling against the worktable, folding her arms, "I knew this kid who very bravely and bossily came out of the closet when she was only fourteen years old. She told me then that we can't choose who we love. We just love the people we love, no mattter what anyone else might want for us. Wasn't that you?
