Genereux Philip|GOD IS MY PROVIDER I BRAG DIFFERENT, THROUGH HIM ALL THINGS ARE POSSIBLE.
Colleen Hoover, It Ends with Us|When life gets you down do you wanna know what you’ve gotta do? . . . Just keep swimming. Just keep swimming. Just keep swimming, swimming, swimming.
Evans Biya|As long as there's breath in the flesh, there'll always be desire for more. Being content is a gift, other millionaires and billionaires actually die empty and less fulfilled.
Evans Biya|One thing I have learnt in this life, is that you got to have Jesus.
Trevor Noah, Born A Crime: Stories from a South African Childhood|Learn from your past and be better because of your past, but don't cry about your past. Life is full of pain. Let the pain sharpen you, but don't hold on to it. Don't be bitter.
Dr. Jacinta Mpalyenkana, Ph.D, MBA|Emotional intelligence is making a huge mistake, but learning from it, forgiving yourself, and setting new and higher related-standards below which you will never operate.
Fakeer Ishavardas|Science is good, is not God.
Harrish Sairaman|The day you discover the GOD within, your quest to meet GOD outside stops!!!
Harrish Sairaman|Just because the roads were bad in the past we drive slow but if we still continue the same way on the highway of Life, you can never ‘Accelerate
Harrish Sairaman|If you think the world is a tough place, it time to change your lens!!!!
Harrish Sairaman|You can only give and display what you have if you are frustrated with others you are quite a frustrating person and if you are loving others, you are a lovely person!
Fakeer Ishavardas|As per the law of karma, that which is your meat today, this dear beloved animal will make mincemeat of you tomorrow. In another birth.
Germany Kent|Don't spend your life wondering "what if" and worrying over something you have no control. What's done is done. Looking backwards will cause you to miss out on new blessings ahead. Move on.
Mehmet Murat ildan|In moments when you feel that life is unbearably heavy, surrender yourself to the circumstances for a while! When life hits you hard and makes you fall down, take a rest on the ground for a while! Momentaneous non-resistance will give you time to gather your strength!
Toni Aleo|But one of the big lessons I have learned from my journey is you can't please everyone, so don't try.
Muhammad Talha|The longer you hold on to your anger, the more damage & harm it can do. But I think life should have given us someone who could understand every feeling we hide behind our smile. A best friend maybe.... Someone, you feel comfortable with.
Donavan Nelson Butler, Master Sergeant US Army|Envision life as you're juggling 6 balls. The balls are called faith, work, family, health, friends, and integrity. But one day, you realize that work is a rubber ball. If dropped, it will bounce back. The other 5 balls faith, family, health, friends, & integrity are made of glass. If you drop one of these, it will be surely scuffed, nicked, or even shattered. Grasp this concept and you will have the beginnings of balance in your life.
Lailah Gfty Akita|Life, life.
Matthew Kelly|If you don't know what you want form life, everything will appear either as an obstacle or a burden. But one of the greatest lessons of history is that the whole world gets out of the way for people who know what they want or where they are going. Be assure, if you don't know where you are going, you are lost.
Gift Gugu  Mona|Some lessons are learnt the hard way, but worth it.
Jonathan Safran Foer, Here I Am|In the struggle between yourself and the world, side with the world
Hanya Yanagihara, A Little Life|But these were days of self-fulfillment, where settling for something that was not quite your first choice of a life seemed weak-willed and ignoble. Somewhere, surrendering to what seemed to be your fate had changed from being dignified to being a sign of your own cowardice.
Germany Kent|Be the girl you want your daughter to be. Be the girl you want your son to date. Be classy, be smart, be real, but most importantly be nice.
Jodi Lynn Anderson|I wonder that if you keep growing and changing like you're supposed to, if you always end up embarrassed about how stupid you used to be. Every year I realize how dumb I was the year before.
Fakeer Ishavardas|I had an enemy - myself. Getting rid of the ego-self, in came the Self. Now, here, there, everywhere is nothing else. Just One Self.
Lailah Gifty Akita|Naked we were born, naked shall we return to grave. What then is the toil?
Lailah Gifty Akita|We shall know how to live better, if we read the Holy Bible.
Lailah Gifty Akita|In the grace of the Truth, re-examine all that you have been told.
Tapan Ghosh, Faceless The Only Way Out|Life is a battle of wits between you and the circumstances. Make them, don't let them make you.
Germany Kent|Think about every good thing in your life right now. Free yourself of worrying. Let go of the anxiety, breathe. Stay positive, all is well.
Nicole Adelle Flamer, The Moor's Golden Helmet|What is it when your former life becomes your dreams? The things you took for granted are now in that mystical realm where you can only see them with your eyes closed, ephemeral and distant.
Mehmet Murat ildan|Life is sometimes to be a monkey with a monkey, to be a dog with a dog, a bird with a bird, water with water, tree with tree! It is a great wisdom to interiorize the mind of others, in other words, to make their spirit our own spirit!
Germany Kent|When you focus on being the best person you can be, you draw the best possible life, love, and opportunities to you.
Joyce Rachelle|If difficult times teach us the most important lessons, we should then learn to read difficult books.
ANIKOR Daniel|Acquisition of wealth thus not in any way make you relevant in the scheme of life; you are relevant by the lives you positively affect, which spans down to generations after you.
Mehmet Murat ildan|With the same habit of mind, even if you live thousands of lives, all will be the same! Get a different habit of mind to get a different life!
Rehan Waris|What you need, is an Event, to remember for a lifetime.
Dougie Brimson, Billy's Log. The Hilarious Diary of One Man's Struggle With Life, Lager and the Female Race|To be fair, her expected hatred of all things male has not materialised because it is clear that she simply dislikes everyone. I suspect that this is an attempt to remain aloof from the minions but it has backfired badly. The women, who were looking upon her as a potential saviour, now regard her as a traitor to her sex. The blokes are just relieved.
Saaif Alam|An intellectual person is always confident about his or her own words when he or she communicates with another individual or the public. However, a person with very low intelligence quotient will express to others what cognitive and/or common knowledge he or she has.
Andrzej Sapkowski, Blood of Elves|If Elirena was a hero, if what she did is heroism, then that's just too bad. Let them call me a traitor and a coward. Because I, Yarpen Zigrin, coward, traitor and renegade, state that we should not kill each other. I state that we ought to live. Live in such a way that we don't, later, have to ask anyone for forgiveness. The Heroic Elirena... She had to ask. Forgive me, she begged, forgive me. To hell with that! It's better to die than to live in the knowledge that you've done something that needs forgiveness.
Auliq-Ice|Days come and go, but the only thing that remains within you are the lessons that you learn by each passing day.
Auliq-Ice|Life doesn't give you much, but for the ones who want to learn, life teaches them how to be strong before they start living their lives instead of just existing in this world.
Lailah Gifty Akita|The Gospel of peace, must be preach to all people.
Katie McGarry, Red at Night|Thank you Jonah."  He lowers his head at the break in my voice. I ignore the moisture in his eyes and pretend that mine don't sting.  "For what?" he whispers.  " For showing me that people can change. Even if it is one person out of a million.
Abhijit Naskar, Human Making is Our Mission: A Treatise on Parenting|Let your child see you doing a good deed instead of you telling him or her to do it, and the little child shall one day grow up to become a real kind human being.
Abby Rosmarin, Chick Lit and Other Formulas for Life|She might've previously veered off track and landed straight into chick lit land, but how many chick lits had the main character recognize how unpredictable life is and then apologize to those she had hurt when she tried forcing things to fit in placr?
Amit Ray, Beautify your Breath - Beautify your Life|Life is a manifestation of the unified field of consciousness. Colors, beauty, pleasure and pain are its songs of creation.
Adam Silvera, History Is All You Left Me|Puzzles are sort of like life because you can mess up and rebuild later, and you're likely smarter the next time around.
Mehmet Murat ildan|If you concentrate on the road too much, you will miss the view and when you do the opposite, you will miss the road! Life is an art of catching both the road and the view!
