Tapan Ghosh, Faceless The Only Way Out|Death is an illusion, Love is not!
Ramana Pemmaraju|Never crave for anyone, you will get what you're destined in your life! Trust Existence!
Ramana Pemmaraju|It's amazing what people do for love, but the most astonishing fact is how love transforms people...
Avijeet Das|I closed my eyes, took a deep breath and dived deeply into her ocean of love and that's how I saved my soul!
Abhijit Naskar, Wise Mating: A Treatise on Monogamy|Polygamy is about sex, whereas monogamy is about love.
Tanya Gambhir|He cubbed her in his arms to sleep,even her demons snored that night ~
Gregory David Roberts, Shantaram|I love you, Karla,” I said when we were alone again. “I loved you the first second I saw you. I think I’ve loved you for as long as there’s been love in the world. I love your voice. I love your face. I love your hands. I love everything you do, and I love the way you do everything. It feels like magic when you touch me. I love the way your mind works, and the things you say. And even though it’s all true, all that, I don’t really understand it, and I can’t explain it – to you or to myself. I just love you. I just love you with all my heart. You do what God should do: you give me a reason to live. You give me a reason to love the world.
Matshona Dhliwayo|Joy doubles your faith, strength triples your might, and love quadruples your power.
Abhijit Naskar, Wise Mating: A Treatise on Monogamy|Promoting promiscuity in this evolved and civilized society is actually like signing the Declaration, that says:“I hereby renounce my membership of humankind, since I am neither human nor kind. I declare that I no longer belong to the modern human species, i.e. the Homo sapiens. From now on I shall be counted among the swingers of the animal kingdom, such as the bonobo or montane vole. I am simply an arrogant philandering savage.
Avijeet Das|Either I love someone completely, totally and madly or not at all!
Sami Abouzid|She Had a Wish, To Leave This Old Town, and See the World Out there
Abhijit Naskar, Wise Mating: A Treatise on Monogamy|Polygamy is a luxury of the cave-people, and monogamy is an existential responsibility of the civilized society.
Mohammed Zaki Ansari, "Zaki's Gift Of Love"|when you betray to someone , first you betray to yourself, who speak somewhere inside you that you are a good human
Siobhan Davis, Keeping Kyler|He has me pinned on my back in record time, his mouth crashing against mine as we frantically devour one another. “Awesome speech,” he murmurs, pushing my sweater up and planting his hot mouth against my equally hot skin. “Very motivational.
Zorica Savron, Only for You, My Love: Love Poetry|...Morning takes youagain to the placeof no return...I don’t have the timeto tell you,how much I wantyou to be here…
Linda Alfiori, The Art of Loving & The Peaceful Wristband: How to Keep The Atraction Alive and His Love Growing For You|WHEN YOU ARE GREATFUL, THE UNIVERSE AND THE WORLD WANT TO GIVE YOU MORE.
Linda Alfiori, The Art of Loving & The Peaceful Wristband: How to Keep The Atraction Alive and His Love Growing For You|TO BE TREATED WITH KINDNESS AND COMPASSION, ALWAYS TREAT OTHERS IN THE SAME WAY, INCLUDING YOUR PARTNER.
Lukhman Pambra|Between a man and a woman, betrayal is not the ultimate sin. It is the withdrawal and departure from one another devoid of a decent just!
Lukhman Pambra|I hardly have a typo when I am drunk and texting! But, I will have enough typos when I am emotionally charged with love, lust, poetry and hope, and texting!
Wisdom Kwashie Mensah|A MOTHER is aMentor, who Over looks all your faults, a Trainer/Teacher, whoHaven't ceased in praying for you, anEndless counselor, sheRevere because she Reliable.
Sami Abouzid|When you go back in time, you will find out that the ones you said NO To, Were the ones who truly loved you.
Ramana Pemmaraju|I'm yet to see a Man more graceful, civilized and patient while making love with his woman; and a Woman who has never rejeced her man's sexual advances!
Zorica Savron, Only for You, My Love: Love Poetry|...You are here again,so realistic,just, the golden dawn takes you away in the morning...Be here now,not there,where there is nothingbut starsand emptiness......
Brittainy C. Cherry, The Gravity of Us|To love,and all the heartache that weighs it down.To love,and all the heartbeats that lift it up.
Leah Konen, The Romantics|1. Romantic: One who ruthlessly believes in love in its finest form and impresses those feelings onto his or her various relationships. May result in scaring off partners, falling for the wrong person, and desperately trying to turn life into a movie with glamorous Old Hollywood actors. May also result in some of the best, most inspiring, and deepest relationships around.
Zorica Savron, Only for You, My Love: Love Poetry|Don't bow your head!It gets even harder...Look at meand say that, what was incomplete.Think of forbiddenand dream, as I do....
Ahmed Mostafa|You're like a band-aid that is slowly ripping off, and I'm still wounded!
Matshona Dhliwayo|Knowledge, teach. Wisdom, acquire. Understanding, share. Love, spread.
Abhijit Naskar, Either Civilized or Phobic: A Treatise on Homosexuality|In the unification of two minds, orientation of sexuality is irrelevant.
Sami Abouzid|My heart is tossing and turning, I can't stop thinking of you, Oh baby my heart is burning I can't stop loving you.
Karen Kingsbury, Love Story|And like that, the decades disappeared and the memory of that night came to life again. The way John had known it would. He didn't fight it, didn't work to stay in the here and now. If he was going to go back, then he wanted to relive it. All of it.
Abhijit Naskar, Either Civilized or Phobic: A Treatise on Homosexuality|Sex is not just about going in or letting in, it is really about welcoming your dearly beloved into the deepest regions of your psyche which are inaccessible to anybody else.
Sapan Saxena, Unns-The Captivation|Think of it, I literally had to touch death and be born again to live a glimpse of the life that I never had.
Matshona Dhliwayo|Pray for faith, hope for peace, strive for unity, and persevere for harmony.
Paul O'Brien|We need to maintain an awareness of our awareness, of what we are paying attention to, in order to discriminate between higher and lower forms of love.
Abhijit Naskar, Either Civilized or Phobic: A Treatise on Homosexuality|Sexual intimacy is not the destination, it is the path - the path that leads to mental union.
Sami Abouzid|Let’s talk about love , Baby Let’s talk about our dreams ...Just in your arms ...Oh I’ll be safe it seems…
Matshona Dhliwayo|Love is loud; the soul hears it, even if the universe is deaf.
Abesh Das|The best feeling I have ever felt is by holding your handbecause it is the hand I am holding today,I will hold it tomorrow andit is the hand that will hold me when I will be old.#indrani(wifey)
Mohammed Zaki Ansari, "Zaki's Gift Of Love"|When you betray someone, First you betray to yourself who speak somewhere inside you that you are good human
Sami Abouzid|People Will Hear What The Wish To Hear, So Why Can’t Say and Do What You Wish In Life.
Sapan Saxena, Unns-The Captivation|I wanted to cover as much distance as possible to be away from where we were, but there was a storm which restricted me. And now, I have been praying for more snow for the last two days, but it’s just melting away to plain water.
Avijeet Das|Seeing old photographs, we get enamored by the memories we made which will keep tugging at our heart-strings forever and ever...
Sami Abouzid|Many Words Of Love are Spoken, Many Hearts Still Broken, Many Promises Were Meant To Last Forever Girl.
Zorica Savron, Only for You, My Love: Love Poetry|Look for mein sleepless nights,among the stars,I’ll be your guiding star...Look for mein the moments of happiness,on a green field,I’ll be your joy....
Nishikant, The Papery Onions|You know what is the problem with trust??It really stops the conversation, because you take the things for granted,Things value less to you because you know that, that thing is going to be there for you, no matter what,You stop talking about love because you believe that you've got the saturation point in your relationship,And you've got her completely,And that is the problem. You don’t own her,Because sometimes love is not enough,And bad is strong to iterate itself with you,It is much stronger to come back.
Nishikant, The Papery Onions|For one more time, he decided to give away smoking.And then, she happened one more time in his head.
Richelle E. Goodrich, Slaying Dragons|I never realized how much you meant to me until someone spoke your name and an irrepressible, goofy grin stretched my lips.
Nishikant, The Papery Onions|He was lying there on his death bed, and he asked for her as his last wish.She came with tears in her eyes. He held her hand and said with a smile," I wish I died daily", And then a flat line.
Nishikant, The Papery Onions|The truth is not always what you see. It is about what you actually want to see. You cannot let go your whole life based on truth. Because, sometimes, it is a lie that we count on for our togetherness.And when I said that I do not need you, I actually wanted to keep us together, with that lie.
Avijeet Das|At times all you need is a bottle of fine old wine, a mellifluous piece of music playing in the background and a good book to spend the entire night in a magical bliss!
Sami Abouzid|With all my heart , I’m willing to try a start
Kendare Blake, Three Dark Crowns|It will not be easy for him to see her dead, should they become close. But she has so few friends. She cannot turn one away.
Sami Abouzid|We Have Nothing in Common, So I t would be a wasted life If I’ll ever fall for her. In addition, life is too precious to be wasted in this way.
Bert McCoy|Stop digging up the past, lay down your shovel, the past is dead.
Nishikant, The Papery Onions|Until I knew that it was you inside me, who has so much to say, I hesitated writing.
Avijeet Das|And what is life without the company of wine, women and good weather.
Nishikant, The Papery Onions|Red eyes, clogged vessels, tanned cells and septum holes, She came up to me with an ashtray, and a bunch of tobacco rolls,I mean, how can I fill the gap that you've created?? How could I switch the clock back to the past, for the time I have wasted? I have gone a sedate now; the heart has stopped pumping zeal into my head,And for the hole in my heart, which is so dead now, which has run out of life now,I carry the loads of moments that you've endowed.
Sami Abouzid|Out of reach and out of sight ,Oh my heart will follow your light ,Won’t you hear my heart ,Need you tonight …..
Sami Abouzid|Good guys, Win in movies, Baby My heart is crying Like rain in May
Sami Abouzid|Oh, I told Once , and I told you Twice , Stay here With me In my Paradise I need you I miss you More and more Each day
Sami Abouzid|Oh, I told You once and I told You twiceTake this Call of love , Never think TwiceCome share My love , Come share My love again
Sami Abouzid|Baby , In your eyes Sweet memories of the good times we had
Sami Abouzid|I missed you ,I missed everything about youYour magical eyes ,Your heavenly smile ...Baby I’m in love with you
Drishti Bablani, Wordions | Uns|It's the gravity of love that makes you fall,and it's the same force that builds you up.
Avijeet Das|And what did the North Star tell the Moon last night? He said "I love you!
Ramana Pemmaraju|He was busy exploring her body, while she was searching for her soulmate!
Avijeet Das|I don't want any more magic in my life, your love is enough for me!
Avijeet Das|And then in a moment of pure magic, our lips touch tenderly and sensitively!
Avijeet Das|When I see you smile, I feel a volcano of magical eruptions happening within my heart!
Avijeet Das|And on cold wintry nights she loves listening to Elvis croon "Are you lonesome tonight?" just as I do.
Avijeet Das|Love happens sublimely, serenely and accidentally! It will happen when you least expect it to!
